Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 3,RFA_3,LS Squared Gini - LS Chi Square,-3.1435358463149927,29,0.998084195537,-3.142429137932016,29,0.998078805961,0.7793136999513977,0.221054298941,29
KDD98 Multiclass 3,RFA_3,LS Squared Gini - Twoing,-0.29059794071664774,29,0.613286537993,-0.29025406428862316,29,0.613156326463,-0.1302650671212829,0.551371938597,29
KDD98 Multiclass 3,RFA_3,LS Chi Square - Twoing,3.1712843961579265,29,0.00178529998609,3.1740134662053725,29,0.00177293430836,-1.36053806627644,0.907929328854,29
KDD98 Multiclass 3,RECP3,LS Squared Gini - LS Chi Square,0.0,3,100.0,0.0,3,100.0,0.0,100.0,3
KDD98 Multiclass 3,RECP3,LS Squared Gini - Twoing,0.0,3,100.0,0.0,3,100.0,0.0,100.0,3
KDD98 Multiclass 3,RECP3,LS Chi Square - Twoing,0.0,3,100.0,0.0,3,100.0,0.0,100.0,3
KDD98 Multiclass 3,HOMEOWNR,LS Squared Gini - LS Chi Square,0.0,10,100.0,0.0,10,100.0,0.0,100.0,10
KDD98 Multiclass 3,HOMEOWNR,LS Squared Gini - Twoing,0.0,10,100.0,0.0,10,100.0,0.0,100.0,10
KDD98 Multiclass 3,HOMEOWNR,LS Chi Square - Twoing,0.0,10,100.0,0.0,10,100.0,0.0,100.0,10
KDD98 Multiclass 3,RFA_7,LS Squared Gini - LS Chi Square,0.11346475839850981,29,0.455221982445,0.11551996945658399,29,0.45441460005,4.064880787176112,0.000167673970819,29
KDD98 Multiclass 3,RFA_7,LS Squared Gini - Twoing,1.7948889050192984,29,0.041550855138,1.796161378806944,29,0.0414473141952,0.27846024303636535,0.391317514837,29
KDD98 Multiclass 3,RFA_7,LS Chi Square - Twoing,1.7103240604063115,29,0.0489428409972,1.7081669749897666,29,0.0491450268949,-4.557076821005147,0.999956644776,29
KDD98 Multiclass 3,RFA_9,LS Squared Gini - LS Chi Square,2.390508104609649,29,0.0117699611807,2.387672375032305,29,0.0118457150621,4.784844495080824,2.30589625134e-05,29
KDD98 Multiclass 3,RFA_9,LS Squared Gini - Twoing,2.8355956712035537,29,0.00412577023455,2.835714547054334,29,0.00412457349257,-1.1368725120413006,0.867550664927,29
KDD98 Multiclass 3,RFA_9,LS Chi Square - Twoing,0.9366735012486289,29,0.178331001301,0.9348207429233449,29,0.178800031861,-8.838940302527321,0.999999999498,29
KDD98 Multiclass 3,GENDER,LS Squared Gini - LS Chi Square,0.0,2,100.0,0.0,2,100.0,0.0,100.0,2
KDD98 Multiclass 3,GENDER,LS Squared Gini - Twoing,0.0,2,100.0,0.0,2,100.0,0.0,100.0,2
KDD98 Multiclass 3,GENDER,LS Chi Square - Twoing,0.0,2,100.0,0.0,2,100.0,0.0,100.0,2
KDD98 Multiclass 3,RFA_10,LS Squared Gini - LS Chi Square,-0.36273882248656864,29,0.640284771583,-0.36379399135652596,29,0.640674635175,2.934910589514559,0.00323228212516,29
KDD98 Multiclass 3,RFA_10,LS Squared Gini - Twoing,1.362045848958943,29,0.0918351715272,1.3594929289987783,29,0.0922341863921,1.4093620435725567,0.0846810514355,29
KDD98 Multiclass 3,RFA_10,LS Chi Square - Twoing,2.138284296751607,29,0.0205237091308,2.1400819440378096,29,0.0204447528081,-3.071438578216897,0.997701166266,29
KDD98 Multiclass 3,RFA_5,LS Squared Gini - LS Chi Square,-3.596594983695894,29,0.99940927123,-3.592371060303543,29,0.999402626338,1.36648450224478,0.0911446262548,29
KDD98 Multiclass 3,RFA_5,LS Squared Gini - Twoing,-2.2746484857361513,29,0.984748231405,-2.273638299824424,29,0.984714148698,0.5708263279047433,0.286257281971,29
KDD98 Multiclass 3,RFA_5,LS Chi Square - Twoing,0.7927121922400263,29,0.217191552907,0.7914590359502115,29,0.217551086153,-0.8118441408859887,0.788252455753,29
KDD98 Multiclass 3,RFA_24,LS Squared Gini - LS Chi Square,-2.931410201899648,29,0.996739609081,-2.9299245954921775,29,0.996727609614,-1.8363259577906677,0.961709562714,29
KDD98 Multiclass 3,RFA_24,LS Squared Gini - Twoing,0.7163573689771432,29,0.239750123521,0.7138058929339184,29,0.240526538616,-10.419807247425293,0.999999999987,29
KDD98 Multiclass 3,RFA_24,LS Chi Square - Twoing,3.9641453914905407,29,0.000220468306321,3.9664674372490176,29,0.000219084902477,-5.477127310345744,0.999996629509,29
KDD98 Multiclass 3,RFA_8,LS Squared Gini - LS Chi Square,4.636972424127519,29,3.4750942475e-05,4.635077714098746,29,3.49338567133e-05,3.750907480956184,0.000391647232735,29
KDD98 Multiclass 3,RFA_8,LS Squared Gini - Twoing,1.9773129186572396,29,0.0287905864482,1.9767082793037543,29,0.0288264784714,5.525062514530825,2.95124863647e-06,29
KDD98 Multiclass 3,RFA_8,LS Chi Square - Twoing,-2.1693050394976217,29,0.980801329466,-2.1657093722678815,29,0.98065176161,-1.2457284876259926,0.888582495786,29
KDD98 Multiclass 3,RFA_4,LS Squared Gini - LS Chi Square,-2.417694917450416,29,0.98893417511,-2.416117030809881,29,0.98889438525,1.9639610121239315,0.0295923302272,29
KDD98 Multiclass 3,RFA_4,LS Squared Gini - Twoing,0.407721741376586,29,0.343236199888,0.4050671155754708,29,0.344200418273,1.432915738334112,0.0812874876807,29
KDD98 Multiclass 3,RFA_4,LS Chi Square - Twoing,3.9208433640222458,29,0.000247893336846,3.9197565238066154,29,0.000248623037202,-1.0,0.837209005992,29
KDD98 Multiclass 3,AGEFLAG,LS Squared Gini - LS Chi Square,-3.8719008894728866,21,0.999558941954,-3.8719008894728866,21,0.999558941954,5.507570547286102,9.13486113585e-06,21
KDD98 Multiclass 3,AGEFLAG,LS Squared Gini - Twoing,-3.8719008894728866,21,0.999558941954,-3.8719008894728866,21,0.999558941954,5.507570547286102,9.13486113585e-06,21
KDD98 Multiclass 3,AGEFLAG,LS Chi Square - Twoing,0.0,21,100.0,0.0,21,100.0,0.0,100.0,21
KDD98 Multiclass 3,RFA_18,LS Squared Gini - LS Chi Square,-0.26158231539935756,29,0.602253784661,-0.264219509598117,29,0.603260255683,1.5879984667608413,0.0615656916324,29
KDD98 Multiclass 3,RFA_18,LS Squared Gini - Twoing,1.6617185013262699,29,0.0536716947958,1.659182432824011,29,0.0539285488087,-5.276986915758926,0.999994126469,29
KDD98 Multiclass 3,RFA_18,LS Chi Square - Twoing,2.3720500312218658,29,0.0122710862353,2.372149272488626,29,0.0122683406617,-7.346013716688337,0.999999978473,29
KDD98 Multiclass 3,RFA_2A,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 3,RFA_2A,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 3,RFA_2A,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
KDD98 Multiclass 3,RFA_13,LS Squared Gini - LS Chi Square,0.08925068525096247,29,0.464748113168,0.08568777874965333,29,0.466151743202,5.884459675419808,1.09393777936e-06,29
KDD98 Multiclass 3,RFA_13,LS Squared Gini - Twoing,1.0391288897697246,29,0.153665753311,1.0366944167386236,29,0.154222897571,3.7640322702253375,0.000378117693035,29
KDD98 Multiclass 3,RFA_13,LS Chi Square - Twoing,0.9012657268584326,29,0.187435742307,0.9027613807138898,29,0.187045130448,-3.889785955886094,0.999730404484,29
KDD98 Multiclass 3,DOMAIN,LS Squared Gini - LS Chi Square,-2.6097890893197353,25,0.992457792406,-2.6097890893197353,25,0.992457792406,1.6903085094570331,0.051701013038,25
KDD98 Multiclass 3,DOMAIN,LS Squared Gini - Twoing,-2.256786048089641,25,0.983493974025,-2.256786048089641,25,0.983493974025,1.6903085094570331,0.051701013038,25
KDD98 Multiclass 3,DOMAIN,LS Chi Square - Twoing,-0.19042395357228506,25,0.574742603457,-0.19042395357228506,25,0.574742603457,0.0,100.0,25
Cover Type with Aggreg,soil_type_17,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_17,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_17,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_18,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_18,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_18,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_3,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_3,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_3,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_26,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_26,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_26,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_40,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_40,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_40,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_33,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_33,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_33,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_25,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_25,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_25,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_2,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_2,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_2,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_23,LS Squared Gini - LS Chi Square,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_23,LS Squared Gini - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
Cover Type with Aggreg,soil_type_23,LS Chi Square - Twoing,0.0,29,100.0,0.0,29,100.0,0.0,100.0,29
