Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,Paired t-statistics on Number of Nodes,P-value t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes
KDD98 Multiclass 2,RFA_14,GW Chi Square - GW Squared Gini,-1.8468139401969228,29,0.962499134097,-1.847436733721918,29,0.962545576986,0.0,100.0,29
KDD98 Multiclass 2,PCOWNERS,GW Chi Square - GW Squared Gini,0.0,27,100.0,0.0,27,100.0,0.0,100.0,27
KDD98 Multiclass 2,RFA_5,GW Chi Square - GW Squared Gini,5.115003835207757,29,9.21270835308e-06,5.110604528943277,29,9.32606102433e-06,0.0,100.0,29
KDD98 Multiclass 2,RFA_12,GW Chi Square - GW Squared Gini,1.2738068639926694,29,0.10642335249,1.2725485025932028,29,0.10664347055,0.0,100.0,29
KDD98 Multiclass 2,PETS,GW Chi Square - GW Squared Gini,0.0,2,100.0,0.0,2,100.0,0.0,100.0,2
KDD98 Multiclass 2,RFA_21,GW Chi Square - GW Squared Gini,4.4286760425789655,29,6.18179260773e-05,4.431238408043831,29,6.13824655854e-05,2.408318915758459,0.0113041896984,29
KDD98 Multiclass 2,RFA_19,GW Chi Square - GW Squared Gini,4.481999976036068,29,5.33560858682e-05,4.481302596136518,29,5.34589699313e-05,0.0,100.0,29
KDD98 Multiclass 2,RFA_20,GW Chi Square - GW Squared Gini,10.852405415515943,29,4.99700281154e-12,10.865123752524754,29,4.86155560253e-12,4.097496026137247,0.000153410985638,29
KDD98 Multiclass 2,RFA_6,GW Chi Square - GW Squared Gini,3.9469634880257146e-15,29,0.5,0.002409996790242127,29,0.499046802449,0.0,100.0,29
KDD98 Multiclass 2,RFA_7,GW Chi Square - GW Squared Gini,-1.0298159810792282,29,0.84419533853,-1.0323186516615357,29,0.844772150388,0.0,100.0,29
